Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
"Intragovernmental Receipts, Profits from Ships' Stores, Navy",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"Recoveries from FMS Sales, Navy",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25
"General Fund Receipts, not Otherwise Classified, Navy",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90
"Undistrib. Intragovernmental Pymnts, Receivables from cancelled accts, Navy",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
"Recoveries from government properties, lost or damaged",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
"Family housing construction, Army",Discretionary,Defense,Department of Defense,Family Housing,137,180,227,302,315,325,333,339,346,354,361
"Family housing operation and maintenance, Army",Discretionary,Defense,Department of Defense,Family Housing,351,371,384,390,390,391,394,400,409,418,427
"Medicare-Eligible retiree health fund contribution, Army        ",Discretionary,Defense,Department of Defense,Military Personnel,"2,142","2,253","2,371","2,496","2,626","2,764","2,909","3,062","3,223","3,392","3,570"
"Medicare-Eligible Retiree Health Fund, Reserves, Army           ",Discretionary,Defense,Department of Defense,Military Personnel,387,414,436,459,483,508,535,563,592,623,656
"Medicare-Eligible Retiree Health Fund Contribution, National Gua",Discretionary,Defense,Department of Defense,Military Personnel,685,719,757,797,838,883,929,978,"1,029","1,083","1,140"
"Military personnel, Army",Discretionary,Defense,Department of Defense,Military Personnel,"44,935","46,571","47,976","49,363","50,737","52,123","53,510","54,927","56,372","57,901","59,423"
"Operation and maintenance, Army",Discretionary,Defense,Department of Defense,Operation and Maintenance,"55,687","57,911","59,619","60,621","62,169","63,764","65,382","67,017","68,669","70,402","72,169"
"Operation and maintenance, Army",Mandatory,Other Spending,Department of Defense,Operation and Maintenance,4,2,1,0,0,0,0,0,0,0,0
"Aircraft procurement, Army",Discretionary,Defense,Department of Defense,Procurement,"5,154","5,078","4,904","4,771","4,818","4,899","4,989","5,087","5,191","5,298","5,406"
"Aircraft procurement, Army",Mandatory,Other Spending,Department of Defense,Procurement,25,35,15,5,3,0,0,0,0,0,0
"Missile procurement, Army",Discretionary,Defense,Department of Defense,Procurement,"3,233","4,452","4,769","4,857","4,954","5,061","5,168","5,277","5,386","5,496","5,609"
"Procurement of weapons and tracked combat vehicles, Army",Discretionary,Defense,Department of Defense,Procurement,"3,960","4,949","5,336","5,442","5,564","5,680","5,796","5,917","6,038","6,161","6,289"
"Procurement of ammunition, Army",Discretionary,Defense,Department of Defense,Procurement,"2,034","2,369","2,522","2,595","2,637","2,706","2,759","2,814","2,873","2,932","2,991"
"Other procurement, Army",Discretionary,Defense,Department of Defense,Procurement,"8,052","8,634","8,990","9,268","9,469","9,667","9,869","10,075","10,280","10,491","10,707"
"Other procurement, Army",Mandatory,Other Spending,Department of Defense,Procurement,10,10,10,5,5,3,0,0,0,0,0
"Research, Development, Test and Evaluation, Army                ",Discretionary,Defense,Department of Defense,"Research, Development, Test, and Evaluation","10,066","10,979","11,321","11,554","11,925","12,366","12,694","13,027","13,364","13,714","14,075"
"Research, Development, Test and Evaluation, Army                ",Mandatory,Other Spending,Department of Defense,"Research, Development, Test, and Evaluation",80,30,10,0,0,0,0,0,0,0,0
"Military construction, Army",Discretionary,Defense,Department of Defense,Military Construction,647,"1,108","1,179","1,226","1,225","1,264","1,291","1,323","1,356","1,390","1,423"
"National Guard personnel, Army",Discretionary,Defense,Department of Defense,Military Personnel,"8,643","8,967","9,249","9,529","9,812","10,089","10,368","10,651","10,949","11,250","11,562"
"Operation and maintenance, Army National Guard",Discretionary,Defense,Department of Defense,Operation and Maintenance,"7,035","7,146","7,360","7,569","7,773","7,984","8,201","8,422","8,644","8,879","9,117"
"Reserve personnel, Army",Discretionary,Defense,Department of Defense,Military Personnel,"4,751","4,922","5,076","5,227","5,380","5,530","5,681","5,834","5,996","6,159","6,327"
"Operation and maintenance, Army Reserve",Discretionary,Defense,Department of Defense,Operation and Maintenance,"2,732","2,804","2,872","2,938","3,017","3,098","3,180","3,264","3,349","3,438","3,529"
"Military construction, Army National Guard",Discretionary,Defense,Department of Defense,Military Construction,302,325,273,259,241,215,213,204,211,214,219
"Military construction, Army Reserve",Discretionary,Defense,Department of Defense,Military Construction,107,103,103,95,92,90,90,91,93,95,97
Afghanistan security forces fund                                ,Discretionary,Defense,Department of Defense,Operation and Maintenance,"4,539","4,742","4,901","5,012","5,125","5,232","5,343","5,453","5,562","5,678","5,794"
Afghanistan Infrastructure Fund                                 ,Discretionary,Defense,Department of Defense,Operation and Maintenance,15,5,0,0,0,0,0,0,0,0,0
Iraq Train and Equip Fund                                       ,Discretionary,Defense,Department of Defense,Operation and Maintenance,29,6,0,0,0,0,0,0,0,0,0
Counter-Islamic State of Iraq and Syria Train and Equip         ,Discretionary,Defense,Department of Defense,Operation and Maintenance,"1,443","1,254","1,139","1,098","1,107","1,122","1,144","1,168","1,191","1,216","1,240"
Other DOD trust funds,Mandatory,Other Spending,Department of Defense,Trust Funds,55,55,55,55,55,55,55,55,55,55,55
"Recoveries from FMS Sales, Army",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"General Fund Receipts, not Otherwise Classified, Army",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205
"Receipts, Restoration of the RM Arsenal",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Undistributed intragovernmental pymnts, Receivables from cancelled accts., Army",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130
"Family housing construction, Air Force",Discretionary,Defense,Department of Defense,Family Housing,59,74,89,90,80,78,79,81,82,83,85
"Family housing operation and maintenance, Air Force",Discretionary,Defense,Department of Defense,Family Housing,280,287,289,291,303,310,317,323,330,337,343
"Medicare-Eligible retiree health fund contribution, Air Force   ",Discretionary,Defense,Department of Defense,Military Personnel,"1,449","1,521","1,600","1,685","1,773","1,866","1,964","2,067","2,176","2,290","2,410"
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense,Military Personnel,133,140,147,155,163,172,181,190,200,211,222
"Medicare-Eligible retiree health fund contribution, National Gua",Discretionary,Defense,Department of Defense,Military Personnel,236,253,266,280,295,310,327,344,362,381,401
"Aircraft procurement, Air Force",Discretionary,Defense,Department of Defense,Procurement,"14,401","15,990","16,814","17,368","17,767","18,115","18,477","18,846","19,234","19,626","20,030"
"Aircraft procurement, Air Force",Mandatory,Other Spending,Department of Defense,Procurement,5,5,5,2,1,0,0,0,0,0,0
"Procurement of ammunition, Air Force",Discretionary,Defense,Department of Defense,Procurement,"1,751","2,261","2,614","2,770","2,853","2,932","2,998","3,061","3,124","3,189","3,254"
"Missile procurement, Air Force",Discretionary,Defense,Department of Defense,Procurement,"2,871","2,906","2,991","3,046","3,127","3,180","3,252","3,323","3,391","3,461","3,533"
"Space Procurement, Air Force                                    ",Discretionary,Defense,Department of Defense,Procurement,"2,054","2,302","2,358","2,234","2,208","2,239","2,274","2,313","2,359","2,408","2,457"
"Other procurement, Air Force",Discretionary,Defense,Department of Defense,Procurement,"22,972","23,420","24,366","25,010","25,628","26,172","26,718","27,266","27,817","28,396","28,973"
"Other procurement, Air Force",Mandatory,Other Spending,Department of Defense,Procurement,5,5,5,5,3,2,0,0,0,0,0
"Military construction, Air Force",Discretionary,Defense,Department of Defense,Military Construction,"1,357","1,542","2,015","2,173","2,151","2,172","2,106","2,039","2,078","2,120","2,164"
"Operation and maintenance, Air Force",Discretionary,Defense,Department of Defense,Operation and Maintenance,"48,462","49,512","50,946","52,320","53,688","55,077","56,498","57,937","59,389","60,913","62,468"
"Operation and maintenance, Air Force",Mandatory,Other Spending,Department of Defense,Operation and Maintenance,5,5,4,1,0,0,0,0,0,0,0
"Military personnel, Air Force",Discretionary,Defense,Department of Defense,Military Personnel,"30,823","31,995","32,971","33,934","34,887","35,848","36,810","37,792","38,794","39,854","40,911"
"Research, Development, Test and Evaluation, Air Force           ",Discretionary,Defense,Department of Defense,"Research, Development, Test, and Evaluation","34,435","38,401","40,467","41,611","42,592","44,336","45,293","46,267","47,244","48,264","49,295"
"Research, Development, Test and Evaluation, Air Force           ",Mandatory,Other Spending,Department of Defense,"Research, Development, Test, and Evaluation",57,47,32,31,16,0,0,0,0,0,0
"Reserve personnel, Air Force",Discretionary,Defense,Department of Defense,Military Personnel,"1,858","1,922","1,981","2,039","2,097","2,155","2,213","2,272","2,334","2,397","2,461"
"Military construction, Air Force Reserve",Discretionary,Defense,Department of Defense,Military Construction,76,73,112,130,140,125,128,130,132,135,138
"Operation and maintenance, Air Force Reserve",Discretionary,Defense,Department of Defense,Operation and Maintenance,"3,207","3,276","3,363","3,453","3,547","3,643","3,742","3,842","3,943","4,050","4,158"
"Military construction, Air National Guard",Discretionary,Defense,Department of Defense,Military Construction,96,125,175,178,181,185,189,193,196,200,204
"Operation and maintenance, Air National Guard",Discretionary,Defense,Department of Defense,Operation and Maintenance,"6,311","6,426","6,596","6,771","6,951","7,136","7,326","7,517","7,711","7,915","8,123"
"National Guard personnel, Air Force",Discretionary,Defense,Department of Defense,Military Personnel,"3,667","3,807","3,926","4,045","4,163","4,280","4,396","4,515","4,639","4,766","4,897"
"Recoveries from FMS Sales, Air Force",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
"General Fund Receipts, not Otherwise Classified, Air Force",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
"Undistributed intragovernmental pymnts, receivables from cancelled accts., A.F.",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65
Concurrent receipt accrual payments to the Military Retirement F,Mandatory,Other Spending,Department of Defense,Military Personnel,"7,909","9,378","9,631","9,925","10,231","10,530","10,827","11,122","11,415","11,715","12,024"
"Operation and maintenance, Defense-wide",Discretionary,Defense,Department of Defense,Operation and Maintenance,"41,421","42,515","43,564","44,667","45,776","46,876","48,008","49,132","50,296","51,522","52,773"
"Operation and maintenance, Defense-wide",Mandatory,Other Spending,Department of Defense,Operation and Maintenance,5,5,5,2,0,0,0,0,0,0,0
United States Court of Appeals for the Armed Forces             ,Discretionary,Defense,Department of Defense,Operation and Maintenance,15,15,15,15,16,17,18,18,19,19,20
"Drug Interdiction and Counter-Drug Activities, Defense          ",Discretionary,Defense,Department of Defense,Operation and Maintenance,772,931,"1,015","1,060","1,095","1,121","1,148","1,174","1,201","1,230","1,258"
Office of the Inspector General,Discretionary,Defense,Department of Defense,Operation and Maintenance,345,356,369,383,395,409,421,435,449,463,479
Department of Defense Acquisition Workforce Development Fund    ,Discretionary,Defense,Department of Defense,Operation and Maintenance,135,320,398,434,449,463,478,494,509,525,542
Defense health program,Discretionary,Defense,Department of Defense,Operation and Maintenance,"32,532","33,371","34,228","35,060","35,944","36,848","37,731","38,620","39,517","40,465","41,419"
Cooperative Threat Reduction Account                            ,Discretionary,Defense,Department of Defense,Operation and Maintenance,333,341,349,356,362,370,378,386,394,402,410
Cooperative Threat Reduction Account                            ,Mandatory,Other Spending,Department of Defense,Operation and Maintenance,9,12,13,13,12,10,9,9,9,9,9
"Procurement, Defense-wide",Discretionary,Defense,Department of Defense,Procurement,"6,857","7,148","7,333","7,491","7,640","7,798","7,962","8,127","8,294","8,463","8,637"
National guard and reserve equipment,Discretionary,Defense,Department of Defense,Procurement,"1,017","1,084","1,155","1,174","1,278","1,320","1,361","1,393","1,422","1,451","1,481"
Defense production act purchases,Discretionary,Defense,Department of Defense,Procurement,65,74,72,68,64,55,55,56,57,59,60
"Chemical Agents and Munitions Destruction, Defense              ",Discretionary,Defense,Department of Defense,Procurement,838,915,"1,011","1,032","1,052","1,074","1,097","1,119","1,143","1,165","1,190"
"Research, Development, Test and Evaluation, Defense-wide        ",Discretionary,Defense,Department of Defense,"Research, Development, Test, and Evaluation","21,454","23,252","24,353","25,265","25,725","25,764","26,319","26,876","27,435","28,015","28,607"
"Research, Development, Test and Evaluation, Defense-wide        ",Mandatory,Other Spending,Department of Defense,"Research, Development, Test, and Evaluation",49,49,31,31,14,0,0,0,0,0,0
"Operational Test and Evaluation, Defense                        ",Discretionary,Defense,Department of Defense,"Research, Development, Test, and Evaluation",291,362,382,393,402,411,420,428,436,446,455
"Military construction, Defense-wide",Discretionary,Defense,Department of Defense,Military Construction,"2,331","2,350","2,421","2,537","2,573","2,613","2,655","2,715","2,773","2,826","2,884"
Department of Defense Base Closure Account 1990,Discretionary,Defense,Department of Defense,Military Construction,20,20,20,20,20,5,0,0,0,0,0
Department of Defense Base Closure Account 2005,Discretionary,Defense,Department of Defense,Military Construction,20,20,20,20,20,20,20,20,20,20,20
Department of Defense Base Closure Account                      ,Discretionary,Defense,Department of Defense,Military Construction,368,388,409,432,422,396,385,371,378,386,394
"Family housing operation and maintenance, Defense-Wide          ",Discretionary,Defense,Department of Defense,Family Housing,58,58,57,59,60,61,62,64,64,66,67
Foreign currency fluctuations,Discretionary,Defense,Department of Defense,Operation and Maintenance,155,75,75,70,65,60,55,50,45,40,30
North Atlantic Treaty Organization security investment program,Discretionary,Defense,Department of Defense,Military Construction,134,136,140,145,153,149,154,156,160,163,166
The Department of Defense Environmental Restoration Accounts,Discretionary,Defense,Department of Defense,Operation and Maintenance,655,887,963,"1,003","1,033","1,055","1,077","1,099","1,122","1,145","1,168"
"Environmental restoration, formerly used Defense sites",Discretionary,Defense,Department of Defense,Operation and Maintenance,162,224,243,253,261,266,272,277,283,289,295
"Overseas Humanitarian, Disaster, and Civic Aid                  ",Discretionary,Defense,Department of Defense,Operation and Maintenance,109,108,109,110,112,114,117,119,122,124,127
Department of Defense family housing improvement fund           ,Discretionary,Defense,Department of Defense,Family Housing,19,19,3,3,2,2,2,2,2,2,2
Military unaccompanied housing improvement fund,Discretionary,Defense,Department of Defense,Family Housing,0,0,0,0,0,0,0,0,0,0,0
Support for international sporting competitions,Discretionary,Defense,Department of Defense,Operation and Maintenance,1,1,1,1,1,1,1,1,0,0,0
Joint Improvised-Threat Defeat Fund                             ,Discretionary,Defense,Department of Defense,Procurement,116,26,11,6,2,0,0,0,0,0,0
Homeowners assistance fund,Discretionary,Defense,Department of Defense,Family Housing,0,0,0,0,0,0,0,0,0,0,0
National defense stockpile transaction fund,Mandatory,Other Spending,Department of Defense,Revolving and Management Funds,-10,-10,-10,-10,-5,-5,-5,-5,-5,-5,-5
"Working Capital Fund, Army                                      ",Discretionary,Defense,Department of Defense,Revolving and Management Funds,"1,629","1,683","1,715","1,750","1,787","1,826","1,864","1,902","1,940","1,979","2,019"
Buildings maintenance fund,Mandatory,Other Spending,Department of Defense,Revolving and Management Funds,10,10,8,7,6,5,5,5,5,5,5
Pentagon reservation maintenance revolving fund,Mandatory,Other Spending,Department of Defense,Revolving and Management Funds,20,20,20,20,20,10,10,10,10,10,10
Disposal of Department of Defense real property,Discretionary,Defense,Department of Defense,Operation and Maintenance,5,5,8,8,9,10,10,11,12,12,13
Lease of Department of Defense real property,Discretionary,Defense,Department of Defense,Operation and Maintenance,22,24,27,30,30,33,36,39,40,40,40
Overseas military facility investment recovery,Discretionary,Defense,Department of Defense,Operation and Maintenance,1,1,1,1,0,0,0,0,0,0,0
Mutually Beneficial Activities                                  ,Mandatory,Other Spending,Department of Defense,Operation and Maintenance,41,42,42,45,40,37,35,35,35,35,35
Department of Defense Vietnam War Commemoration Fund            ,Discretionary,Defense,Department of Defense,Operation and Maintenance,3,3,2,1,1,1,0,0,0,0,0
DOD operation & maintenance,Discretionary,Defense,Department of Defense,Operation and Maintenance,860,"1,244","1,457","1,551","1,592","1,632","1,672","1,712","1,755","1,797","1,840"
Military personnel,Discretionary,Defense,Department of Defense,Military Personnel,0,0,0,"4,900",145,"-5,045",0,0,0,"5,755","-5,755"
"Surcharge collections, sales of commissary stores, Defense",Mandatory,Other Spending,Department of Defense,Trust Funds,20,20,20,10,10,10,10,10,10,10,10
Foreign national employees separation pay,Mandatory,Other Spending,Department of Defense,Trust Funds,14,19,25,28,31,31,33,35,36,36,36
Voluntary separation incentive fund,Mandatory,Other Spending,Department of Defense,Trust Funds,54,46,39,33,27,22,18,14,11,8,6
Host nation support fund for relocation,Mandatory,Other Spending,Department of Defense,Trust Funds,254,281,287,293,289,299,304,304,294,289,285
"Undistrib. intragvrnmntl pymnts, receivables from cancelled accts, def. agencies",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
Deposits for survivor annuity benefits,Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21
Sale of Scrap and Salvage Materials,Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
General transfer authority outlay allowance,Discretionary,Defense,Department of Defense,Allowances,84,41,13,0,0,0,0,0,0,0,0
Miscellaneous special funds,Mandatory,Other Spending,Department of Defense,Operation and Maintenance,3,3,3,3,3,3,3,3,3,3,3
Allied contributions and cooperation account,Mandatory,Other Spending,Department of Defense,Operation and Maintenance,725,746,769,811,827,843,860,877,895,913,932
"Spectrum Relocation, Department of Defense                      ",Mandatory,Other Spending,Department of Defense,Allowances,5,123,216,279,321,342,235,143,80,36,11
"Deposits, Other DoD Trust Funds",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50
"Contributions, Department of Defense General Gift Fund",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Collections, Contributions to the Cooperative Threat Reduction",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Intragovernmental Receipts, Voluntary Separation Incentives",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-31,-26,-22,-18,-15,-13,-10,-8,-6,-5,-3
"Intragovernmental Receipts, Foreign National Employees Separation Fund",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-10,-15,-20,-20,-20,-20,-25,-25,-25,-25,-25
Contributions for mutually beneficial activities (Kuwait),Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75
"Recoveries from FMS Sales, Defense Agencies",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"General Fund Receipts, not Otherwise Classified, Defense Agencies",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125
Receipts from Disposal and Lease of Real Property,Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-44,-48,-49,-49,-49,-50,-51,-53,-53,-54,-54
"Receipts, Allied Contributions and Cooperation Account",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-779,-795,-811,-826,-843,-860,-876,-895,-912,-931,-950
"Receipts, Transfer/Disposition of Commissary Facilities",Mandatory,Offsetting receipts,Department of Defense,Department of Defense,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Research and Development--reductions,Discretionary,Defense,Department of Defense,"Research, Development, Test, and Evaluation",-90,-164,-184,-188,-192,-196,-200,-204,-208,-213,-217
Energy employees occupational illness compensation fund,Mandatory,Other Spending,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,"1,328","1,326","1,324","1,319","1,309","1,294","1,276","1,255","1,230","1,204","1,175"
"Administrative expenses, Energy employees occupational illness c",Mandatory,Other Spending,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,125,138,141,144,147,148,150,151,152,152,154
CDC-Wide Activities and Program Support                         ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,49,54,56,57,57,58,58,59,59,59,59
Weapons activities,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,"10,387","11,033","11,443","11,677","11,918","12,170","12,426","12,684","12,941","13,212","13,483"
Other defense activities,Discretionary,Defense,Department of Energy                                            ,Environmental and Other Defense Activities,858,872,895,917,940,963,987,"1,011","1,035","1,061","1,087"
Defense environmental cleanup                                   ,Discretionary,Defense,Department of Energy                                            ,Environmental and Other Defense Activities,"5,731","6,023","6,229","6,360","6,495","6,636","6,779","6,922","7,066","7,219","7,371"
Defense nuclear nonproliferation,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,"1,890","2,026","1,985","2,025","2,067","2,110","2,154","2,198","2,243","2,289","2,337"
Federal Salaries and Expenses                                   ,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,409,423,438,454,469,485,502,519,536,554,573
Naval Reactors,Discretionary,Defense,Department of Energy                                            ,National Nuclear Security Administration,"1,681","1,714","1,767","1,804","1,843","1,883","1,923","1,963","2,003","2,047","2,089"
Nuclear Energy                                                  ,Discretionary,Defense,Department of Energy                                            ,Energy Programs,216,221,229,242,248,254,259,265,270,276,282
Formerly utilized sites remedial action program,Discretionary,Defense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,146,152,155,159,163,166,170,174,178,182,187
Salaries and Expenses                                           ,Discretionary,Defense,Defense Nuclear Facilities Safety Board                         ,Defense Nuclear Facilities Safety Board                         ,31,32,33,34,36,37,38,39,41,42,43
Operations and administration,Discretionary,Defense,Department of Commerce                                          ,Bureau of Industry and Security,38,39,41,42,43,45,46,47,49,50,52
Salaries and expenses,Discretionary,Defense,Department of Justice                                           ,Federal Bureau of Investigation,"5,282","5,427","5,607","5,793","5,980","6,173","6,369","6,568","6,771","6,986","7,206"
Payment to radiation exposure compensation trust fund,Mandatory,Other Spending,Department of Justice                                           ,Radiation Exposure Compensation,56,54,52,50,10,0,0,0,0,0,0
Radiation exposure compensation trust fund,Mandatory,Other Spending,Department of Justice                                           ,Radiation Exposure Compensation,56,54,52,50,10,0,0,0,0,0,0
